# StartTime = 09/10/2016 06:58:23.8269 下午
Time (sec), Latitude (deg), Longitude (deg), Vehicle speed (MPH)
0,25.14542,121.4597,0
0.992,25.14543,121.4598,0
1.936,25.14541,121.4598,0
4.067,25.14541,121.4598,0
5.971,25.1454,121.4597,0
6.993,25.1454,121.4597,0
8.083,25.1454,121.4597,0
8.966,25.14541,121.4597,0
9.962,25.1454,121.4597,0
11.381,25.1454,121.4597,0
12.05,25.1454,121.4597,0
12.971,25.1454,121.4597,0
14.031,25.1454,121.4597,0
15.024,25.1454,121.4597,0
16.024,25.1454,121.4597,0
17.049,25.1454,121.4597,0
17.963,25.1454,121.4597,0
19.008,25.1454,121.4597,0
20.02,25.1454,121.4597,0
21.035,25.1454,121.4597,0
22.042,25.1454,121.4597,0
23.149,25.1454,121.4597,0
23.901,25.1454,121.4597,0
24.96,25.1454,121.4597,0
25.964,25.1454,121.4597,0
26.989,25.1454,121.4597,0
28.03,25.1454,121.4597,0
29.047,25.1454,121.4597,0
29.99,25.1454,121.4597,0
31.025,25.1454,121.4597,0
31.981,25.1454,121.4597,0
32.983,25.1454,121.4597,0
33.967,25.1454,121.4597,0
34.966,25.1454,121.4597,0
35.968,25.1454,121.4597,0
36.988,25.1454,121.4597,0
37.991,25.1454,121.4597,0
39.009,25.1454,121.4597,0
40.003,25.1454,121.4597,0
40.965,25.1454,121.4597,0.6213712
41.981,25.1454,121.4597,2.485485
42.981,25.1454,121.4597,4.97097
43.995,25.14545,121.4597,9.320568
44.939,25.1455,121.4597,12.42742
45.964,25.14555,121.4597,14.91291
46.986,25.14561,121.4597,16.77702
47.92,25.14568,121.4597,18.64114
48.973,25.14577,121.4597,20.50525
49.96,25.14585,121.4597,21.74799
50.889,25.14594,121.4597,22.99073
51.975,25.14603,121.4597,23.6121
54.037,25.14619,121.4597,23.6121
55.003,25.14632,121.4597,22.36936
55.972,25.14641,121.4597,22.36936
56.995,25.1465,121.4597,22.36936
57.982,25.1466,121.4597,22.36936
58.931,25.14668,121.4597,22.36936
59.99,25.14677,121.4597,21.74799
60.974,25.14686,121.4597,21.74799
61.913,25.14694,121.4597,21.12662
64.059,25.14709,121.4597,21.12662
64.973,25.14719,121.4597,21.12662
65.954,25.14728,121.4597,21.74799
66.981,25.14737,121.4597,22.99073
67.924,25.14746,121.4597,23.6121
68.932,25.14755,121.4597,24.23348
70.019,25.14765,121.4597,24.23348
71.038,25.14775,121.4597,24.85485
72.005,25.14785,121.4597,24.85485
72.983,25.14795,121.4597,24.85485
73.992,25.14805,121.4597,25.47622
74.993,25.14815,121.4597,26.09759
75.976,25.14826,121.4597,27.34033
76.991,25.14837,121.4597,27.9617
77.925,25.14848,121.4597,27.9617
79.002,25.14859,121.4597,27.9617
80.004,25.14871,121.4597,27.9617
81.014,25.14881,121.4597,27.34033
82.984,25.14902,121.4597,26.09759
83.984,25.14913,121.4597,25.47622
84.975,25.14923,121.4597,24.23348
85.978,25.14932,121.4596,22.99073
86.995,25.14941,121.4596,20.50525
88.018,25.14949,121.4596,20.50525
89.011,25.14957,121.4596,21.12662
90.012,25.14965,121.4596,22.36936
91.017,25.14975,121.4596,23.6121
91.974,25.14984,121.4596,25.47622
92.965,25.14995,121.4596,26.09759
93.975,25.15005,121.4596,26.71896
94.995,25.15016,121.4596,26.09759
95.995,25.15027,121.4596,27.34033
96.992,25.15038,121.4596,27.9617
97.999,25.15049,121.4596,27.9617
99.013,25.15059,121.4596,27.9617
100.977,25.15081,121.4596,26.09759
101.984,25.15092,121.4596,25.47622
102.981,25.15101,121.4595,24.85485
103.963,25.15111,121.4595,24.23348
104.968,25.1512,121.4595,22.99073
105.975,25.15129,121.4595,21.74799
107,25.15137,121.4595,16.77702
108.02,25.15143,121.4595,14.91291
108.974,25.15149,121.4596,14.91291
109.963,25.15154,121.4596,16.15565
110.987,25.15158,121.4596,16.15565
111.983,25.15163,121.4597,14.91291
114.059,25.15167,121.4598,18.01976
114.972,25.15166,121.4599,18.64114
115.993,25.15169,121.46,19.26251
117.005,25.15171,121.4601,19.26251
118.016,25.15174,121.4602,15.53428
118.918,25.15177,121.4603,11.18468
119.996,25.15176,121.4602,8.699197
121.015,25.15177,121.4603,7.456454
125.99,25.15184,121.4603,3.106856
126.973,25.15184,121.4603,4.97097
129,25.15185,121.4604,10.56331
129.999,25.15187,121.4604,11.18468
130.983,25.15189,121.4605,11.80605
131.995,25.15191,121.4605,10.56331
132.978,25.15193,121.4606,8.077826
133.974,25.15193,121.4606,5.592341
134.988,25.15194,121.4606,3.728227
135.975,25.15195,121.4606,3.728227
136.985,25.15193,121.4605,4.349598
138.007,25.15192,121.4605,4.349598
139.009,25.15191,121.4605,3.106856
140,25.15191,121.4605,3.106856
140.963,25.15191,121.4605,5.592341
141.891,25.15191,121.4605,6.213712
144.972,25.1519,121.4605,2.485485
